t,y
5.6607,0.019096
5.6655,0.019106
5.6704,0.019115
5.6753,0.019124
5.6802,0.019132
5.685,0.019138
5.6899,0.019144
5.6948,0.019149
5.6997,0.019153
5.7045,0.019157
5.7094,0.01916
5.7143,0.019162
5.7192,0.019164
5.724,0.019166
5.7289,0.019168
5.7338,0.019169
5.7387,0.019171
5.7435,0.019173
5.7484,0.019175
5.7533,0.019177
5.7582,0.01918
5.763,0.019183
5.7679,0.019187
5.7728,0.019192
5.7777,0.019197
5.7825,0.019203
5.7874,0.01921
5.7923,0.019218
5.7972,0.019227
5.802,0.019237
5.8069,0.019247
5.8118,0.019259
5.8167,0.019271
5.8216,0.019284
5.8264,0.019298
5.8313,0.019313
5.8362,0.019328
5.8411,0.019344
5.8459,0.019361
5.8508,0.019378
5.8557,0.019395
5.8606,0.019413
5.8654,0.019431
5.8703,0.019449
5.8752,0.019467
5.8801,0.019485
5.8849,0.019503
5.8898,0.01952
5.8947,0.019538
5.8996,0.019554
5.9044,0.019571
5.9093,0.019587
5.9142,0.019602
5.9191,0.019616
5.9239,0.01963
5.9288,0.019643
5.9337,0.019656
5.9386,0.019667
5.9434,0.019678
5.9483,0.019688
5.9532,0.019697
5.9581,0.019706
5.9629,0.019714
5.9678,0.019721
5.9727,0.019727
5.9776,0.019733
5.9824,0.019738
5.9873,0.019743
5.9922,0.019748
5.9971,0.019752
6.002,0.019756
6.0068,0.01976
6.0117,0.019764
6.0166,0.019768
6.0215,0.019772
6.0263,0.019776
6.0312,0.01978
6.0361,0.019785
6.041,0.01979
6.0458,0.019796
6.0507,0.019802
6.0556,0.019809
6.0605,0.019816
6.0653,0.019824
6.0702,0.019833
6.0751,0.019842
6.08,0.019852
6.0848,0.019863
6.0897,0.019874
6.0946,0.019886
6.0995,0.019899
6.1043,0.019913
6.1092,0.019927
6.1141,0.019941
6.119,0.019956
6.1238,0.019972
6.1287,0.019988
6.1336,0.020004
6.1385,0.02002
6.1433,0.020037
6.1482,0.020054
6.1531,0.02007
6.158,0.020087
6.1628,0.020104
6.1677,0.02012
6.1726,0.020136
6.1775,0.020152
6.1824,0.020168
6.1872,0.020183
6.1921,0.020197
6.197,0.020211
6.2019,0.020225
6.2067,0.020237
6.2116,0.02025
6.2165,0.020261
6.2214,0.020273
6.2262,0.020283
6.2311,0.020293
6.236,0.020302
6.2409,0.020311
6.2457,0.020319
6.2506,0.020327
6.2555,0.020334
6.2604,0.020341
6.2652,0.020347
6.2701,0.020354
6.275,0.02036
6.2799,0.020365
6.2847,0.020371
6.2896,0.020377
6.2945,0.020382
6.2994,0.020388
6.3042,0.020394
6.3091,0.0204
6.314,0.020406
6.3189,0.020413
6.3237,0.02042
6.3286,0.020427
6.3335,0.020435
6.3384,0.020444
6.3432,0.020453
6.3481,0.020462
6.353,0.020472
6.3579,0.020482
6.3627,0.020493
6.3676,0.020505
6.3725,0.020517
6.3774,0.02053
6.3823,0.020543
6.3871,0.020557
6.392,0.020571
6.3969,0.020585
6.4018,0.0206
6.4066,0.020615
6.4115,0.02063
6.4164,0.020646
6.4213,0.020662
6.4261,0.020677
6.431,0.020693
6.4359,0.020709
6.4408,0.020724
6.4456,0.02074
6.4505,0.020755
6.4554,0.02077
6.4603,0.020785
6.4651,0.0208
6.47,0.020814
6.4749,0.020827
6.4798,0.020841
6.4846,0.020853
6.4895,0.020866
6.4944,0.020878
6.4993,0.020889
6.5041,0.0209
6.509,0.02091
6.5139,0.02092
6.5188,0.02093
6.5236,0.020939
6.5285,0.020948
6.5334,0.020956
6.5383,0.020964
6.5431,0.020972
6.548,0.02098
6.5529,0.020987
6.5578,0.020994
6.5627,0.021001
6.5675,0.021009
6.5724,0.021016
6.5773,0.021023
6.5822,0.02103
6.587,0.021038
6.5919,0.021045
6.5968,0.021053
6.6017,0.021061
6.6065,0.02107
6.6114,0.021079
6.6163,0.021088
6.6212,0.021098
6.626,0.021108
6.6309,0.021118
6.6358,0.021129
6.6407,0.021141
6.6455,0.021152
6.6504,0.021165
6.6553,0.021177
6.6602,0.02119
6.665,0.021204
6.6699,0.021217
6.6748,0.021231
6.6797,0.021246
6.6845,0.02126
6.6894,0.021275
6.6943,0.02129
6.6992,0.021305
6.704,0.02132
6.7089,0.021335
6.7138,0.02135
6.7187,0.021365
6.7235,0.02138
6.7284,0.021395
6.7333,0.021409
6.7382,0.021424
6.7431,0.021438
6.7479,0.021452
6.7528,0.021465
6.7577,0.021478
6.7626,0.021491
6.7674,0.021504
6.7723,0.021516
6.7772,0.021527
6.7821,0.021539
6.7869,0.02155
6.7918,0.02156
6.7967,0.021571
6.8016,0.02158
6.8064,0.02159
